"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,0,3.4,88,2.2,"DELTA",2026-02-06 22:38:01.018341
2,"Punto grid",41.3206,1.3658,0,0.2,3.2,85,2,"DELTA",2026-02-06 22:38:01.209035
3,"Punto grid",41.3606,1.3658,0,0.2,2.8,85,1.8,"DELTA",2026-02-06 22:38:01.382994
4,"Punto grid",41.4006,1.3658,0,0.2,2.8,85,1.8,"BAJO LLOBREGAT",2026-02-06 22:38:01.556923
5,"Punto grid",41.4406,1.3658,0,0.2,2.9,80,2,"BAJO LLOBREGAT",2026-02-06 22:38:01.730615
6,"Punto grid",41.4806,1.3658,0,0.4,3.6,80,2.6,"BAJO LLOBREGAT",2026-02-06 22:38:01.905252
7,"Punto grid",41.5206,1.3658,0,0.4,3.6,80,2.6,"BAJO LLOBREGAT",2026-02-06 22:38:02.079509
8,"Punto grid",41.5606,1.3658,0,0.6,4,80,2.8,"BAJO LLOBREGAT",2026-02-06 22:38:02.253363
9,"Punto grid",41.6006,1.3658,0,0.8,4.4,78,3,"BAJO LLOBREGAT",2026-02-06 22:38:02.427271
10,"Punto grid",41.6406,1.3658,0,0.8,4.4,78,3,"BAJO LLOBREGAT",2026-02-06 22:38:02.601067
11,"Punto grid",41.6806,1.3658,0,0.7,4.7,78,3.6,"BAJO LLOBREGAT",2026-02-06 22:38:02.775215
12,"Punto grid",41.7206,1.3658,0,0.9,5.5,75,4.2,"MEDIO LLOBREGAT",2026-02-06 22:38:02.949513
13,"Punto grid",41.7606,1.3658,0,0.9,5.5,75,4.2,"MEDIO LLOBREGAT",2026-02-06 22:38:03.125247
14,"Punto grid",41.8006,1.3658,0,1.3,5.5,75,4,"MEDIO LLOBREGAT",2026-02-06 22:38:03.298067
15,"Punto grid",41.8406,1.3658,0,1.3,5.5,75,4,"MEDIO LLOBREGAT",2026-02-06 22:38:03.471207
16,"Punto grid",41.8806,1.3658,0,2.4,5.8,75,3.2,"MEDIO LLOBREGAT",2026-02-06 22:38:03.643569
17,"Punto grid",41.9206,1.3658,0,3.8,6.8,75,3.2,"MEDIO LLOBREGAT",2026-02-06 22:38:03.815901
18,"Punto grid",41.9606,1.3658,0,3.8,6.8,68,3.2,"MEDIO LLOBREGAT",2026-02-06 22:38:03.988992
19,"Punto grid",42.0006,1.3658,0,2.4,6.6,68,2.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:04.163101
20,"Punto grid",42.0406,1.3658,0,2,8.2,68,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:04.335501
21,"Punto grid",42.0806,1.3658,0.6,2.6,10.7,85,6.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:04.508563
22,"Punto grid",42.1206,1.3658,0,5.1,8,85,3.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:04.681909
23,"Punto grid",42.1606,1.3658,0,5,11.6,85,5.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:04.854601
24,"Punto grid",42.2006,1.3658,0.2,4.9,11.1,65,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:05.027035
25,"Punto grid",42.2406,1.3658,1.4,4.4,10.3,65,5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:05.199477
26,"Punto grid",42.2806,1.3658,0.3,0.8,6.1,65,3.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 22:38:05.372076
27,"Punto grid",41.2806,1.4058,0,0,3.4,88,2.2,"DELTA",2026-02-06 22:38:05.547576
28,"Punto grid",41.3206,1.4058,0,0.2,3.2,85,2,"DELTA",2026-02-06 22:38:05.719969
29,"Punto grid",41.3606,1.4058,0,0.2,2.8,85,1.8,"DELTA",2026-02-06 22:38:05.894875
